Movie release date,top 10 1grams
1888,[]
1889,[]
1890,[]
1891,[]
1892,[]
1893,"[(('all',), 2), (('one',), 2), (('smith',), 2), (('metal',), 2), (('rod',), 2), (('scene',), 1), (('filmed',), 1), (('stationary',), 1), (('screen',), 1), (('large',), 1)]"
1894,"[(('after',), 2), (('jerry',), 2), (('while',), 2), (('london',), 2), (('james',), 2), (('corbett',), 2), (('courtney',), 2), (('boxing',), 2), (('match',), 2), (('finding',), 1)]"
1895,"[(('film',), 11), (('then',), 7), (('into',), 7), (('water',), 6), (('man',), 6), (('gardener',), 5), (('two',), 5), (('boy',), 4), (('this',), 4), (('camera',), 4)]"
1896,"[(('then',), 4), (('man',), 3), (('over',), 3), (('bill',), 3), (('men',), 2), (('two',), 2), (('playing',), 2), (('cards',), 2), (('while',), 2), (('reads',), 2)]"
1897,"[(('film',), 7), (('their',), 3), (('each',), 3), (('round',), 3), (('calls',), 2), (('burglars',), 2), (('into',), 2), (('sailors',), 2), (('rounds',), 2), (('its',), 2)]"
1898,"[(('then',), 9), (('into',), 8), (('appears',), 7), (('astronomer',), 7), (('only',), 6), (('clown',), 5), (('its',), 5), (('before',), 5), (('magician',), 5), (('box',), 4)]"
1899,"[(('cab',), 3), (('clown',), 3), (('people',), 2), (('into',), 2), (('nurse',), 2), (('child',), 2), (('stopped',), 1), (('man',), 1), (('several',), 1), (('driven',), 1)]"
1900,"[(('chimmie',), 5), (('car',), 5), (('old',), 4), (('shows',), 4), (('man',), 4), (('off',), 4), (('policeman',), 4), (('frame',), 3), (('begins',), 3), (('around',), 3)]"
1901,"[(('bluebeard',), 5), (('great',), 4), (('seven',), 4), (('press',), 3), (('wives',), 3), (('wife',), 3), (('curiosity',), 3), (('two',), 2), (('shot',), 2), (('then',), 2)]"
1902,"[(('head',), 5), (('astronomers',), 4), (('then',), 3), (('all',), 3), (('until',), 3), (('while',), 3), (('into',), 3), (('dog',), 3), (('their',), 3), (('capsule',), 3)]"
1903,"[(('bandits',), 5), (('into',), 5), (('train',), 5), (('tries',), 5), (('upon',), 5), (('all',), 4), (('fellow',), 4), (('rises',), 3), (('goes',), 3), (('then',), 3)]"
1904,"[(('travelers',), 4), (('into',), 4), (('loaded',), 2), (('onto',), 2), (('their',), 2), (('board',), 2), (('journey',), 2), (('higher',), 2), (('submarine',), 2), (('geographic',), 1)]"
1905,"[(('nurse',), 6), (('elizabeth',), 5), (('baby',), 3), (('into',), 3), (('bather',), 2), (('children',), 2), (('their',), 2), (('leaves',), 2), (('home',), 2), (('enjoy',), 2)]"
1906,"[(('film',), 4), (('kelly',), 3), (('ned',), 3), (('shot',), 3), (('story',), 2), (('police',), 2), (('under',), 2), (('aaron',), 2), (('sherritt',), 2), (('surviving',), 2)]"
1907,"[(('film',), 7), (('then',), 5), (('while',), 4), (('two',), 3), (('hunters',), 3), (('lion',), 3), (('all',), 3), (('sex',), 3), (('been',), 3), (('included',), 3)]"
1908,"[(('pedro',), 6), (('itself',), 5), (('man',), 4), (('film',), 4), (('jekyll',), 4), (('mexican',), 3), (('before',), 3), (('see',), 3), (('down',), 3), (('then',), 3)]"
1909,"[(('two',), 4), (('gets',), 4), (('film',), 3), (('king',), 2), (('court',), 2), (('use',), 2), (('sends',), 2), (('flirts',), 2), (('woman',), 2), (('eventually',), 2)]"
1910,"[(('after',), 10), (('monster',), 10), (('bunda',), 8), (('frankenstein',), 8), (('then',), 7), (('before',), 7), (('only',), 5), (('their',), 5), (('not',), 5), (('sweetheart',), 5)]"
1911,"[(('film',), 18), (('andrew',), 17), (('florence',), 13), (('jack',), 12), (('wife',), 11), (('into',), 9), (('after',), 9), (('love',), 9), (('fallows',), 9), (('young',), 8)]"
1912,"[(('film',), 15), (('dick',), 13), (('valmar',), 13), (('von',), 12), (('man',), 10), (('after',), 10), (('love',), 9), (('old',), 9), (('young',), 8), (('astrea',), 8)]"
1913,"[(('into',), 25), (('film',), 24), (('after',), 22), (('wife',), 18), (('von',), 18), (('their',), 17), (('while',), 12), (('one',), 11), (('some',), 11), (('becomes',), 11)]"
1914,"[(('charlie',), 33), (('into',), 25), (('woman',), 19), (('wife',), 16), (('one',), 15), (('love',), 14), (('this',), 14), (('chaplin',), 14), (('cinderella',), 13), (('goes',), 13)]"
1915,"[(('philipe',), 41), (('irma',), 33), (('their',), 32), (('while',), 32), (('after',), 28), (('into',), 25), (('mazamette',), 23), (('man',), 22), (('grand',), 21), (('one',), 20)]"
1916,"[(('new',), 20), (('their',), 18), (('one',), 15), (('film',), 14), (('been',), 14), (('german',), 14), (('man',), 13), (('then',), 13), (('years',), 13), (('tries',), 13)]"
1917,"[(('love',), 22), (('into',), 18), (('young',), 18), (('falls',), 17), (('angela',), 16), (('father',), 15), (('new',), 14), (('ned',), 14), (('jimmie',), 13), (('after',), 13)]"
1918,"[(('their',), 27), (('young',), 23), (('after',), 22), (('one',), 21), (('then',), 19), (('john',), 19), (('film',), 17), (('love',), 16), (('takes',), 16), (('back',), 16)]"
1919,"[(('ossi',), 32), (('their',), 31), (('one',), 27), (('then',), 26), (('all',), 25), (('into',), 24), (('john',), 24), (('after',), 23), (('two',), 23), (('josef',), 23)]"
1920,"[(('söfren',), 41), (('their',), 37), (('after',), 32), (('not',), 31), (('into',), 31), (('one',), 29), (('margarete',), 27), (('pollyanna',), 23), (('young',), 22), (('two',), 22)]"
1921,"[(('after',), 35), (('into',), 34), (('one',), 30), (('man',), 27), (('then',), 25), (('father',), 24), (('david',), 23), (('their',), 22), (('woman',), 22), (('two',), 21)]"
1922,"[(('after',), 42), (('their',), 32), (('into',), 31), (('von',), 29), (('get',), 26), (('one',), 25), (('all',), 23), (('mabuse',), 22), (('tess',), 20), (('young',), 19)]"
1923,"[(('after',), 39), (('their',), 37), (('into',), 33), (('man',), 33), (('not',), 31), (('marie',), 30), (('jean',), 29), (('love',), 25), (('one',), 24), (('gang',), 24)]"
1924,"[(('john',), 70), (('after',), 55), (('their',), 52), (('into',), 49), (('mary',), 41), (('paul',), 35), (('one',), 34), (('millie',), 34), (('mcteague',), 31), (('only',), 30)]"
1925,"[(('after',), 44), (('their',), 44), (('then',), 37), (('into',), 37), (('love',), 37), (('while',), 35), (('not',), 32), (('back',), 31), (('cesar',), 31), (('two',), 28)]"
1926,"[(('their',), 41), (('after',), 33), (('not',), 29), (('love',), 29), (('into',), 25), (('while',), 24), (('one',), 23), (('back',), 23), (('then',), 20), (('before',), 20)]"
1927,"[(('napoleon',), 83), (('their',), 77), (('into',), 71), (('after',), 65), (('then',), 46), (('two',), 45), (('not',), 42), (('takes',), 38), (('while',), 38), (('young',), 38)]"
1928,"[(('after',), 90), (('into',), 69), (('their',), 69), (('then',), 62), (('one',), 57), (('not',), 52), (('love',), 46), (('film',), 45), (('back',), 43), (('two',), 42)]"
1929,"[(('their',), 102), (('young',), 88), (('after',), 83), (('into',), 65), (('then',), 63), (('not',), 62), (('love',), 58), (('man',), 57), (('oswald',), 57), (('two',), 51)]"
1930,"[(('their',), 130), (('into',), 82), (('after',), 78), (('then',), 74), (('one',), 68), (('not',), 65), (('back',), 59), (('while',), 57), (('love',), 56), (('two',), 53)]"
1931,"[(('their',), 157), (('into',), 136), (('then',), 130), (('not',), 114), (('after',), 114), (('them',), 89), (('one',), 81), (('while',), 81), (('love',), 70), (('two',), 70)]"
1932,"[(('their',), 167), (('then',), 151), (('after',), 150), (('into',), 138), (('one',), 109), (('not',), 98), (('all',), 85), (('them',), 84), (('back',), 83), (('man',), 80)]"
1933,"[(('their',), 194), (('into',), 148), (('after',), 126), (('not',), 108), (('while',), 106), (('then',), 94), (('all',), 91), (('new',), 76), (('get',), 74), (('man',), 73)]"
1934,"[(('their',), 185), (('after',), 141), (('not',), 126), (('into',), 119), (('one',), 99), (('then',), 99), (('them',), 76), (('while',), 72), (('love',), 71), (('goes',), 70)]"
1935,"[(('their',), 207), (('into',), 138), (('after',), 129), (('them',), 114), (('one',), 105), (('not',), 104), (('then',), 90), (('new',), 90), (('while',), 85), (('back',), 78)]"
1936,"[(('their',), 162), (('into',), 145), (('after',), 136), (('then',), 119), (('not',), 105), (('all',), 79), (('them',), 79), (('one',), 78), (('new',), 76), (('back',), 71)]"
1937,"[(('their',), 238), (('after',), 154), (('into',), 138), (('them',), 114), (('not',), 112), (('then',), 106), (('one',), 89), (('get',), 82), (('new',), 76), (('tries',), 75)]"
1938,"[(('their',), 198), (('into',), 156), (('after',), 137), (('then',), 118), (('one',), 110), (('all',), 94), (('not',), 93), (('while',), 88), (('back',), 88), (('them',), 88)]"
1939,"[(('their',), 189), (('after',), 137), (('into',), 111), (('not',), 92), (('them',), 91), (('one',), 86), (('new',), 80), (('while',), 77), (('been',), 75), (('all',), 71)]"
1940,"[(('their',), 194), (('after',), 152), (('into',), 151), (('them',), 119), (('not',), 114), (('then',), 101), (('new',), 94), (('one',), 88), (('while',), 86), (('get',), 76)]"
1941,"[(('their',), 230), (('after',), 191), (('into',), 191), (('one',), 126), (('then',), 119), (('them',), 115), (('not',), 115), (('back',), 114), (('while',), 111), (('new',), 101)]"
1942,"[(('their',), 235), (('into',), 231), (('then',), 196), (('after',), 161), (('one',), 127), (('not',), 121), (('while',), 110), (('this',), 104), (('them',), 97), (('back',), 96)]"
1943,"[(('into',), 209), (('their',), 193), (('after',), 170), (('then',), 153), (('not',), 124), (('one',), 112), (('while',), 111), (('tom',), 104), (('them',), 101), (('back',), 90)]"
1944,"[(('their',), 232), (('after',), 186), (('into',), 153), (('then',), 129), (('one',), 114), (('not',), 112), (('while',), 109), (('them',), 102), (('all',), 100), (('tom',), 100)]"
1945,"[(('their',), 174), (('into',), 168), (('then',), 156), (('after',), 156), (('not',), 112), (('one',), 108), (('two',), 93), (('while',), 93), (('back',), 87), (('them',), 87)]"
1946,"[(('their',), 165), (('after',), 149), (('into',), 149), (('not',), 113), (('then',), 112), (('while',), 110), (('one',), 93), (('bugs',), 90), (('two',), 90), (('them',), 90)]"
1947,"[(('into',), 169), (('their',), 159), (('after',), 148), (('then',), 121), (('not',), 105), (('one',), 96), (('while',), 94), (('back',), 87), (('new',), 82), (('tom',), 80)]"
1948,"[(('their',), 224), (('after',), 207), (('into',), 193), (('not',), 159), (('then',), 157), (('one',), 138), (('while',), 122), (('them',), 120), (('only',), 103), (('been',), 101)]"
1949,"[(('after',), 215), (('into',), 211), (('their',), 198), (('then',), 193), (('not',), 156), (('bugs',), 136), (('back',), 131), (('while',), 122), (('all',), 112), (('one',), 110)]"
1950,"[(('into',), 253), (('then',), 228), (('their',), 222), (('after',), 211), (('not',), 158), (('back',), 140), (('one',), 135), (('them',), 125), (('been',), 125), (('while',), 124)]"
1951,"[(('their',), 225), (('after',), 211), (('into',), 199), (('then',), 161), (('not',), 136), (('one',), 123), (('tom',), 120), (('while',), 117), (('bugs',), 116), (('back',), 115)]"
1952,"[(('into',), 230), (('after',), 228), (('their',), 221), (('tom',), 217), (('then',), 213), (('not',), 170), (('jerry',), 147), (('while',), 143), (('one',), 132), (('back',), 125)]"
1953,"[(('their',), 301), (('into',), 262), (('after',), 255), (('then',), 253), (('not',), 185), (('tom',), 163), (('one',), 160), (('back',), 152), (('them',), 151), (('this',), 144)]"
1954,"[(('their',), 261), (('into',), 221), (('after',), 192), (('then',), 175), (('not',), 174), (('one',), 141), (('tom',), 135), (('this',), 131), (('back',), 124), (('while',), 120)]"
1955,"[(('after',), 261), (('their',), 252), (('into',), 246), (('then',), 208), (('one',), 150), (('not',), 148), (('back',), 131), (('this',), 121), (('while',), 121), (('all',), 115)]"
1956,"[(('their',), 253), (('into',), 218), (('then',), 215), (('after',), 196), (('not',), 163), (('one',), 137), (('them',), 135), (('back',), 124), (('this',), 116), (('while',), 111)]"
1957,"[(('their',), 281), (('into',), 267), (('after',), 237), (('then',), 189), (('not',), 179), (('one',), 163), (('while',), 146), (('this',), 145), (('all',), 136), (('only',), 127)]"
1958,"[(('their',), 293), (('into',), 280), (('after',), 249), (('then',), 196), (('not',), 175), (('one',), 170), (('them',), 151), (('back',), 142), (('while',), 134), (('two',), 119)]"
1959,"[(('their',), 333), (('after',), 296), (('into',), 279), (('not',), 193), (('one',), 188), (('while',), 176), (('then',), 175), (('them',), 142), (('been',), 134), (('back',), 133)]"
1960,"[(('their',), 255), (('into',), 217), (('after',), 198), (('one',), 160), (('while',), 153), (('not',), 143), (('then',), 136), (('this',), 127), (('all',), 122), (('back',), 116)]"
1961,"[(('their',), 273), (('after',), 207), (('into',), 187), (('not',), 160), (('all',), 135), (('back',), 130), (('one',), 129), (('then',), 125), (('this',), 118), (('while',), 117)]"
1962,"[(('their',), 338), (('into',), 261), (('after',), 255), (('not',), 180), (('one',), 178), (('while',), 163), (('them',), 153), (('then',), 151), (('back',), 142), (('all',), 134)]"
1963,"[(('their',), 247), (('after',), 207), (('into',), 193), (('then',), 146), (('them',), 138), (('not',), 135), (('one',), 133), (('two',), 117), (('while',), 113), (('all',), 104)]"
1964,"[(('their',), 289), (('after',), 237), (('into',), 225), (('one',), 163), (('not',), 157), (('all',), 142), (('then',), 140), (('while',), 139), (('this',), 134), (('two',), 122)]"
1965,"[(('their',), 294), (('into',), 267), (('after',), 248), (('one',), 182), (('not',), 175), (('then',), 163), (('this',), 145), (('them',), 144), (('while',), 133), (('back',), 126)]"
1966,"[(('into',), 290), (('their',), 278), (('after',), 228), (('then',), 174), (('one',), 157), (('while',), 149), (('them',), 148), (('not',), 143), (('two',), 133), (('all',), 131)]"
1967,"[(('their',), 310), (('into',), 280), (('after',), 253), (('then',), 218), (('one',), 172), (('them',), 167), (('this',), 153), (('not',), 148), (('while',), 145), (('back',), 137)]"
1968,"[(('their',), 352), (('into',), 240), (('after',), 239), (('then',), 226), (('while',), 200), (('one',), 197), (('them',), 167), (('not',), 155), (('two',), 151), (('this',), 146)]"
1969,"[(('their',), 314), (('after',), 269), (('into',), 198), (('not',), 178), (('one',), 177), (('while',), 164), (('them',), 157), (('then',), 140), (('two',), 138), (('only',), 138)]"
1970,"[(('their',), 310), (('after',), 226), (('into',), 206), (('them',), 174), (('one',), 174), (('not',), 164), (('then',), 159), (('two',), 152), (('while',), 128), (('been',), 119)]"
1971,"[(('their',), 346), (('into',), 282), (('after',), 269), (('one',), 202), (('not',), 176), (('then',), 176), (('them',), 169), (('two',), 163), (('while',), 144), (('this',), 143)]"
1972,"[(('their',), 385), (('after',), 297), (('into',), 270), (('them',), 239), (('one',), 236), (('then',), 232), (('not',), 228), (('while',), 195), (('two',), 175), (('this',), 165)]"
1973,"[(('their',), 383), (('after',), 301), (('into',), 298), (('one',), 246), (('not',), 216), (('then',), 181), (('this',), 173), (('two',), 171), (('them',), 163), (('while',), 159)]"
1974,"[(('their',), 330), (('after',), 286), (('into',), 257), (('one',), 231), (('then',), 214), (('not',), 195), (('while',), 167), (('two',), 162), (('them',), 159), (('this',), 156)]"
1975,"[(('their',), 335), (('after',), 265), (('into',), 234), (('then',), 223), (('not',), 181), (('one',), 177), (('two',), 168), (('while',), 167), (('them',), 164), (('this',), 144)]"
1976,"[(('their',), 305), (('after',), 232), (('into',), 209), (('one',), 173), (('not',), 171), (('while',), 151), (('them',), 149), (('all',), 134), (('this',), 131), (('film',), 130)]"
1977,"[(('their',), 362), (('after',), 320), (('into',), 275), (('one',), 216), (('while',), 206), (('not',), 205), (('then',), 201), (('them',), 194), (('this',), 184), (('two',), 151)]"
1978,"[(('their',), 398), (('into',), 305), (('after',), 296), (('one',), 263), (('them',), 211), (('then',), 192), (('not',), 185), (('while',), 169), (('this',), 160), (('back',), 143)]"
1979,"[(('their',), 417), (('after',), 322), (('into',), 310), (('then',), 218), (('while',), 215), (('one',), 210), (('them',), 193), (('not',), 184), (('two',), 171), (('this',), 156)]"
1980,"[(('their',), 470), (('into',), 359), (('after',), 352), (('one',), 295), (('then',), 263), (('not',), 242), (('them',), 218), (('this',), 209), (('while',), 208), (('two',), 185)]"
1981,"[(('their',), 501), (('after',), 387), (('into',), 369), (('one',), 290), (('them',), 266), (('then',), 247), (('not',), 241), (('while',), 208), (('two',), 198), (('this',), 184)]"
1982,"[(('their',), 479), (('into',), 396), (('after',), 392), (('one',), 301), (('back',), 250), (('them',), 241), (('while',), 241), (('not',), 232), (('then',), 230), (('this',), 210)]"
1983,"[(('their',), 535), (('after',), 474), (('into',), 429), (('while',), 298), (('not',), 296), (('one',), 283), (('them',), 260), (('then',), 252), (('all',), 241), (('this',), 229)]"
1984,"[(('their',), 523), (('after',), 386), (('into',), 384), (('not',), 320), (('one',), 293), (('them',), 257), (('then',), 246), (('while',), 241), (('this',), 214), (('back',), 209)]"
1985,"[(('their',), 595), (('after',), 477), (('into',), 460), (('one',), 342), (('them',), 321), (('not',), 304), (('while',), 304), (('then',), 286), (('this',), 279), (('all',), 262)]"
1986,"[(('their',), 604), (('after',), 475), (('into',), 452), (('one',), 373), (('them',), 338), (('while',), 281), (('not',), 280), (('then',), 275), (('back',), 255), (('two',), 240)]"
1987,"[(('their',), 724), (('into',), 572), (('after',), 541), (('them',), 379), (('one',), 376), (('not',), 360), (('then',), 350), (('while',), 319), (('back',), 280), (('this',), 266)]"
1988,"[(('their',), 732), (('after',), 533), (('into',), 532), (('them',), 359), (('not',), 343), (('one',), 341), (('then',), 336), (('while',), 331), (('back',), 291), (('two',), 279)]"
1989,"[(('their',), 641), (('after',), 594), (('into',), 535), (('one',), 384), (('then',), 363), (('not',), 345), (('them',), 345), (('while',), 324), (('this',), 314), (('back',), 302)]"
1990,"[(('their',), 681), (('into',), 560), (('after',), 540), (('one',), 371), (('not',), 367), (('then',), 361), (('while',), 354), (('them',), 337), (('two',), 296), (('all',), 273)]"
1991,"[(('their',), 654), (('after',), 563), (('into',), 481), (('one',), 376), (('not',), 340), (('while',), 327), (('then',), 307), (('them',), 301), (('two',), 272), (('back',), 263)]"
1992,"[(('their',), 658), (('after',), 642), (('into',), 525), (('not',), 391), (('one',), 384), (('then',), 366), (('them',), 352), (('while',), 341), (('two',), 302), (('this',), 291)]"
1993,"[(('their',), 848), (('after',), 694), (('into',), 581), (('one',), 429), (('not',), 423), (('them',), 421), (('while',), 414), (('then',), 388), (('this',), 350), (('back',), 336)]"
1994,"[(('their',), 855), (('after',), 693), (('into',), 657), (('not',), 497), (('one',), 497), (('then',), 459), (('them',), 411), (('while',), 403), (('this',), 390), (('two',), 380)]"
1995,"[(('their',), 868), (('after',), 710), (('into',), 628), (('not',), 487), (('one',), 449), (('them',), 421), (('while',), 404), (('then',), 394), (('this',), 360), (('two',), 346)]"
1996,"[(('their',), 876), (('after',), 683), (('into',), 628), (('one',), 512), (('not',), 501), (('them',), 449), (('then',), 424), (('while',), 420), (('this',), 367), (('all',), 329)]"
1997,"[(('their',), 1005), (('after',), 830), (('into',), 668), (('one',), 543), (('not',), 540), (('then',), 496), (('them',), 471), (('while',), 468), (('this',), 411), (('back',), 388)]"
1998,"[(('their',), 1113), (('after',), 918), (('into',), 819), (('then',), 633), (('one',), 591), (('not',), 579), (('them',), 576), (('while',), 566), (('this',), 434), (('back',), 429)]"
1999,"[(('their',), 977), (('after',), 925), (('into',), 670), (('not',), 600), (('one',), 563), (('then',), 535), (('while',), 479), (('them',), 458), (('two',), 438), (('this',), 428)]"
2000,"[(('their',), 1299), (('after',), 956), (('into',), 785), (('not',), 757), (('then',), 623), (('them',), 608), (('one',), 604), (('this',), 600), (('while',), 566), (('all',), 517)]"
2001,"[(('their',), 1323), (('after',), 1034), (('into',), 932), (('not',), 778), (('one',), 678), (('while',), 659), (('then',), 637), (('them',), 615), (('this',), 539), (('two',), 514)]"
2002,"[(('their',), 1347), (('after',), 1162), (('into',), 956), (('not',), 849), (('one',), 846), (('then',), 761), (('while',), 678), (('this',), 648), (('them',), 623), (('two',), 564)]"
2003,"[(('their',), 1500), (('after',), 1285), (('into',), 1047), (('not',), 924), (('one',), 880), (('them',), 788), (('then',), 759), (('while',), 744), (('this',), 685), (('two',), 635)]"
2004,"[(('their',), 1663), (('after',), 1383), (('into',), 1134), (('not',), 1040), (('one',), 920), (('then',), 894), (('them',), 789), (('this',), 771), (('while',), 757), (('all',), 682)]"
2005,"[(('their',), 1914), (('after',), 1576), (('into',), 1292), (('not',), 1106), (('one',), 1078), (('while',), 958), (('them',), 944), (('then',), 934), (('this',), 844), (('all',), 761)]"
2006,"[(('their',), 2181), (('after',), 1745), (('into',), 1563), (('not',), 1270), (('one',), 1215), (('then',), 1079), (('while',), 1063), (('them',), 1008), (('this',), 966), (('all',), 888)]"
2007,"[(('their',), 2290), (('after',), 1831), (('into',), 1591), (('not',), 1336), (('one',), 1270), (('while',), 1145), (('then',), 1127), (('them',), 978), (('this',), 975), (('all',), 887)]"
2008,"[(('their',), 2500), (('after',), 1956), (('into',), 1510), (('not',), 1301), (('one',), 1273), (('them',), 1162), (('while',), 1143), (('then',), 1128), (('this',), 979), (('all',), 920)]"
2009,"[(('their',), 2234), (('after',), 1854), (('into',), 1572), (('not',), 1257), (('then',), 1253), (('one',), 1154), (('them',), 1151), (('while',), 1145), (('back',), 951), (('this',), 883)]"
