Movie release date,Number of movies,top 10 1grams
The 9/11 Attacks and the War on Terrorism (2001-present),8676,"[(('after',), 4058), (('into',), 3459), (('one',), 3162), (('not',), 3028), (('them',), 2538), (('this',), 2489), (('film',), 2220), (('all',), 2196), (('two',), 2157), (('back',), 2121)]"
The Belle Époque (1900-1914),249,"[(('film',), 47), (('wife',), 25), (('into',), 24), (('man',), 23), (('tries',), 21), (('love',), 21), (('old',), 20), (('young',), 20), (('after',), 20), (('two',), 18)]"
The Civil Rights and Social Equality Struggles (1950s-1970s),6394,"[(('after',), 1997), (('into',), 1895), (('not',), 1448), (('one',), 1439), (('this',), 1180), (('them',), 1177), (('all',), 1079), (('two',), 1059), (('back',), 1038), (('only',), 882)]"
The Cold War and McCarthyism (1947-1991),4390,"[(('after',), 1533), (('into',), 1493), (('one',), 1233), (('not',), 1137), (('them',), 1012), (('this',), 941), (('two',), 842), (('all',), 804), (('back',), 787), (('film',), 761)]"
The Great Depression (1929-1939),1634,"[(('after',), 438), (('into',), 417), (('not',), 366), (('one',), 284), (('them',), 260), (('all',), 243), (('love',), 226), (('new',), 226), (('been',), 217), (('two',), 208)]"
The Post-Cold War and the New World Order (1991-2001),4492,"[(('after',), 2169), (('into',), 1786), (('not',), 1628), (('one',), 1580), (('this',), 1395), (('them',), 1276), (('two',), 1111), (('all',), 1087), (('back',), 1024), (('film',), 1000)]"
The Reagan Years and the Rise of Neoliberalism (1980s),3727,"[(('after',), 1742), (('into',), 1619), (('one',), 1310), (('them',), 1182), (('not',), 1168), (('this',), 1066), (('two',), 892), (('all',), 888), (('back',), 842), (('film',), 828)]"
The Roaring Twenties (1920-1929),648,"[(('after',), 145), (('into',), 115), (('man',), 111), (('love',), 91), (('not',), 91), (('one',), 85), (('napoleon',), 83), (('back',), 75), (('two',), 69), (('young',), 68)]"
World War I (1914-1918),258,"[(('philipe',), 41), (('into',), 40), (('irma',), 33), (('them',), 26), (('man',), 26), (('falls',), 25), (('two',), 25), (('goes',), 25), (('love',), 24), (('after',), 24)]"
World War II (1939-1945),1553,"[(('after',), 494), (('into',), 469), (('one',), 310), (('not',), 308), (('them',), 293), (('two',), 244), (('only',), 236), (('this',), 233), (('back',), 232), (('all',), 223)]"
