Movie release date,Number of movies,top 20 2grams
1900,10,"[(('film', 'silent'), 1), (('silent', 'character'), 1), (('character', 'sketch'), 1), (('sketch', 'shows'), 1), (('shows', 'chimmie'), 1), (('chimmie', 'hicks'), 1), (('hicks', 'imitating'), 1), (('imitating', 'man'), 1), (('man', 'races'), 1), (('races', 'winning'), 1), (('winning', 'filmed'), 1), (('filmed', 'bare'), 1), (('bare', 'stage'), 1), (('stage', 'dark'), 1), (('dark', 'sketch'), 1), (('sketch', 'captures'), 1), (('captures', 'chimmie'), 1), (('chimmie', 'suit'), 1), (('suit', 'overcoat'), 1), (('overcoat', 'holding'), 1)]"
1901,11,"[(('press', 'agent'), 2), (('lasting', 'just'), 1), (('just', 'seconds'), 1), (('seconds', 'consisting'), 1), (('consisting', 'two'), 1), (('two', 'first'), 1), (('first', 'shot'), 1), (('shot', 'set'), 1), (('set', 'wood'), 1), (('wood', 'during'), 1), (('during', 'actor'), 1), (('actor', 'representing'), 1), (('representing', 'vice'), 1), (('vice', 'president'), 1), (('president', 'theodore'), 1), (('theodore', 'roosevelt'), 1), (('roosevelt', 'enthusiastically'), 1), (('enthusiastically', 'hurries'), 1), (('hurries', 'down'), 1), (('down', 'hillside'), 1)]"
1902,2,[]
1903,3,"[(('film', 'opens'), 1), (('opens', 'two'), 1), (('two', 'masked'), 1), (('masked', 'bandits'), 1), (('bandits', 'breaking'), 1), (('breaking', 'into'), 1), (('into', 'railroad'), 1), (('railroad', 'telegraph'), 1), (('telegraph', 'force'), 1), (('force', 'operator'), 1), (('operator', 'gunpoint'), 1), (('gunpoint', 'stop'), 1), (('stop', 'train'), 1), (('train', 'give'), 1), (('give', 'engineer'), 1), (('engineer', 'orders'), 1), (('orders', 'fill'), 1), (('fill', 'train'), 1), (('train', 'water'), 1), (('water', 'afterwards'), 1)]"
1905,2,"[(('scenes', 'introduced'), 1), (('introduced', 'using'), 1), (('using', 'lines'), 1), (('lines', 'finishes'), 1), (('finishes', 'work'), 1), (('work', 'children'), 1), (('children', 'city'), 1), (('city', 'household'), 1), (('household', 'hang'), 1), (('hang', 'stockings'), 1), (('stockings', 'go'), 1), (('go', 'unable'), 1), (('unable', 'sleep'), 1), (('sleep', 'engage'), 1), (('engage', 'pillow'), 1), (('pillow', 'santa'), 1), (('santa', 'claus'), 1), (('claus', 'leaves'), 1), (('leaves', 'home'), 1), (('home', 'sleigh'), 1)]"
1906,2,[]
1907,2,[]
1908,22,"[(('hyde', 'takes'), 2), (('beggar', 'receives'), 1), (('receives', 'new'), 1), (('new', 'limb'), 1), (('limb', 'strange'), 1), (('strange', 'store'), 1), (('store', 'specializes'), 1), (('specializes', 'human'), 1), (('human', 'new'), 1), (('new', 'arm'), 1), (('arm', 'mind'), 1), (('mind', 'its'), 1), (('its', 'brings'), 1), (('brings', 'man'), 1), (('man', 'nothing'), 1), (('film', 'open'), 1), (('open', 'town'), 1), (('town', 'mexican'), 1), (('mexican', 'poker'), 1), (('poker', 'game'), 1)]"
1909,33,"[(('suggested', 'grande'), 1), (('grande', 'king'), 1), (('king', 'constructs'), 1), (('constructs', 'windowless'), 1), (('windowless', 'himself'), 1), (('himself', 'not'), 1), (('not', 'faithful'), 1), (('faithful', 'consorts'), 1), (('consorts', 'court'), 1), (('court', 'use'), 1), (('use', 'new'), 1), (('new', 'play'), 1), (('play', 'chamber'), 1), (('chamber', 'king'), 1), (('king', 'discovers'), 1), (('discovers', 'sends'), 1), (('sends', 'faithless'), 1), (('faithless', 'duo'), 1), (('duo', 'still'), 1), (('still', 'masons'), 1)]"
1910,33,"[(('settler', 'dakotas'), 1), (('dakotas', 'gets'), 1), (('gets', 'word'), 1), (('word', 'inherit'), 1), (('inherit', 'large'), 1), (('large', 'native'), 1), (('native', 'american'), 1), (('american', 'wife'), 1), (('wife', 'believing'), 1), (('believing', 'lose'), 1), (('lose', 'husband'), 1), (('husband', 'if'), 1), (('if', 'returns'), 1), (('returns', 'stabs'), 1), (('stabs', 'herself'), 1), (('herself', 'husband'), 1), (('husband', 'removes'), 1), (('removes', 'only'), 1), (('only', 'daughter'), 1), (('daughter', 'see'), 1)]"
