Movie release date,Number of movies,Ngrams and score
1892,3,
1894,4,"[['match' 0.25607375986579195]
 ['boxing' 0.25607375986579195]
 ['courtney' 0.25607375986579195]
 ['james corbett' 0.25607375986579195]
 ['james' 0.25607375986579195]
 ['corbett' 0.25607375986579195]
 ['london' 0.2340822943922611]
 ['jerry' 0.2340822943922611]
 ['problems jerry' 0.2340822943922611]
 ['problems' 0.2340822943922611]]"
1895,5,"[['congress' 0.28005601680560194]
 ['afternoon' 0.14002800840280097]
 ['riverboat' 0.14002800840280097]
 ['numbers background' 0.14002800840280097]
 ['photographers' 0.14002800840280097]
 ['photographers leave' 0.14002800840280097]
 ['photographic' 0.14002800840280097]
 ['photographic societies' 0.14002800840280097]
 ['produced' 0.14002800840280097]
 ['produced morning' 0.14002800840280097]]"
1896,3,"[['bat' 0.2407717061715384]
 ['slowly' 0.1203858530857692]
 ['medieval' 0.1203858530857692]
 ['medieval castle' 0.1203858530857692]
 ['mephistopheles' 0.1203858530857692]
 ['mephistopheles preparing' 0.1203858530857692]
 ['monstrous' 0.1203858530857692]
 ['monstrous wings' 0.1203858530857692]
 ['preparing' 0.1203858530857692]
 ['preparing cauldron' 0.1203858530857692]]"
1897,1,"[['film' 0.47058823529411764]
 ['minutes' 0.17647058823529413]
 ['round' 0.17647058823529413]
 ['minute' 0.17647058823529413]
 ['streible 22' 0.11764705882352941]
 ['22' 0.11764705882352941]
 ['event' 0.11764705882352941]
 ['introduction' 0.11764705882352941]
 ['streible' 0.11764705882352941]
 ['corbett' 0.11764705882352941]]"
1898,9,"[['game' 0.3287979746107146]
 ['1898' 0.1643989873053573]
 ['newark bears' 0.1643989873053573]
 ['footage' 0.1643989873053573]
 ['footage 1898' 0.1643989873053573]
 ['game filmed' 0.1643989873053573]
 ['game reading' 0.1643989873053573]
 ['newark' 0.1643989873053573]
 ['phillies' 0.1643989873053573]
 ['1898 baseball' 0.1643989873053573]]"
1899,2,
1900,10,
1901,11,"[['shot' 0.27407548393101266]
 ['photographer' 0.2055566129482595]
 ['agent' 0.2055566129482595]
 ['press' 0.2055566129482595]
 ['press agent' 0.2055566129482595]
 ['teddy' 0.2055566129482595]
 ['camera' 0.13703774196550633]
 ['wood' 0.13703774196550633]
 ['path' 0.13703774196550633]
 ['rifle' 0.13703774196550633]]"
1902,1,"[['astronomers' 0.2993421700446248]
 ['sequence' 0.17960530202677488]
 ['selenite' 0.17960530202677488]
 ['capsule' 0.17960530202677488]
 ['film' 0.11973686801784993]
 ['cannon' 0.11973686801784993]
 ['moon' 0.11973686801784993]
 ['selenites' 0.11973686801784993]
 ['space' 0.11973686801784993]
 ['astronomer' 0.11973686801784993]]"
1903,3,"[['fellow' 0.20294373961704973]
 ['bed' 0.20294373961704973]
 ['clothes' 0.20294373961704973]
 ['candlestick' 0.1623549916936398]
 ['rack' 0.12176624377022983]
 ['room' 0.12176624377022983]
 ['boots' 0.12176624377022983]
 ['clothes rack' 0.12176624377022983]
 ['window' 0.12176624377022983]
 ['tries' 0.12176624377022983]]"
